Model,Train Score,Train R^2,Test Score,Test R^2
TCN,0.048707094,0.9884669539117857,0.07504294799920365,0.8743339844404203
TCN_e_kan,0.051451597,0.9871188247379596,0.06494003667319405,0.9059412309307959
LSTM,0.054104965,0.9857963664191038,0.06842507202709465,0.8955384361564207
LSTM_ekan,0.047624305,0.9890284345554301,0.07500234838623802,0.8740194345422706
Transformer,0.091848366,0.9597637982696153,0.11522747277747257,0.7027966934622116
Transformer_ekan,0.0583205,0.9836574201099472,0.09829055778446058,0.7834778521476301
BiLSTM,0.054300446,0.9855989740797108,0.07752891769633587,0.8651974315943545
BiLSTM_ekan,0.057802767,0.983791418488865,0.06998401642967496,0.8902771648470633
GRU,0.048677776,0.9885419432185225,0.0712978279264105,0.8862021764854269
GRU_e_kan,0.05386536,0.9857994108558953,0.08678846714249272,0.8300686526928105



